Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
ESB,Cropland Nutrient Balance,IND,India,7275,Cropland nitrogen,5076,Atmospheric deposition,2022,2022,t,3472806.3168,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7276,Cropland nitrogen per unit area,5076,Atmospheric deposition,2022,2022,kg/ha,20.643,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7280,Cropland phosphorus,5076,Atmospheric deposition,2022,2022,,,,,
ESB,Cropland Nutrient Balance,IND,India,7281,Cropland phosphorus per unit area,5076,Atmospheric deposition,2022,2022,,,,,
ESB,Cropland Nutrient Balance,IND,India,7282,Cropland potassium,5076,Atmospheric deposition,2022,2022,,,,,
ESB,Cropland Nutrient Balance,IND,India,7283,Cropland potassium per unit area,5076,Atmospheric deposition,2022,2022,,,,,
ESB,Cropland Nutrient Balance,IND,India,7275,Cropland nitrogen,5076,Atmospheric deposition,2023,2023,t,3472806.3168,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7276,Cropland nitrogen per unit area,5076,Atmospheric deposition,2023,2023,kg/ha,20.6318,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7280,Cropland phosphorus,5076,Atmospheric deposition,2023,2023,,,,,
ESB,Cropland Nutrient Balance,IND,India,7281,Cropland phosphorus per unit area,5076,Atmospheric deposition,2023,2023,,,,,
ESB,Cropland Nutrient Balance,IND,India,7282,Cropland potassium,5076,Atmospheric deposition,2023,2023,,,,,
ESB,Cropland Nutrient Balance,IND,India,7283,Cropland potassium per unit area,5076,Atmospheric deposition,2023,2023,,,,,
ESB,Cropland Nutrient Balance,IND,India,7275,Cropland nitrogen,5077,Crop harvest removal,2020,2020,t,11685353.2642,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7276,Cropland nitrogen per unit area,5077,Crop harvest removal,2020,2020,kg/ha,69.5358,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7280,Cropland phosphorus,5077,Crop harvest removal,2020,2020,t,2118865.144,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7281,Cropland phosphorus per unit area,5077,Crop harvest removal,2020,2020,kg/ha,12.6087,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7282,Cropland potassium,5077,Crop harvest removal,2020,2020,t,5431555.9312,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7283,Cropland potassium per unit area,5077,Crop harvest removal,2020,2020,kg/ha,32.3215,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7275,Cropland nitrogen,5077,Crop harvest removal,2021,2021,t,12207916.5656,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7276,Cropland nitrogen per unit area,5077,Crop harvest removal,2021,2021,kg/ha,72.6058,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7280,Cropland phosphorus,5077,Crop harvest removal,2021,2021,t,2199849.523,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7281,Cropland phosphorus per unit area,5077,Crop harvest removal,2021,2021,kg/ha,13.0835,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7282,Cropland potassium,5077,Crop harvest removal,2021,2021,t,5615758.5633,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7283,Cropland potassium per unit area,5077,Crop harvest removal,2021,2021,kg/ha,33.3994,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7275,Cropland nitrogen,5077,Crop harvest removal,2022,2022,t,12410209.4952,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7276,Cropland nitrogen per unit area,5077,Crop harvest removal,2022,2022,kg/ha,73.7687,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7280,Cropland phosphorus,5077,Crop harvest removal,2022,2022,t,2230487.1487,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7281,Cropland phosphorus per unit area,5077,Crop harvest removal,2022,2022,kg/ha,13.2585,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7282,Cropland potassium,5077,Crop harvest removal,2022,2022,t,5676173.2702,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7283,Cropland potassium per unit area,5077,Crop harvest removal,2022,2022,kg/ha,33.7403,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7275,Cropland nitrogen,5077,Crop harvest removal,2023,2023,t,13009760.9501,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7276,Cropland nitrogen per unit area,5077,Crop harvest removal,2023,2023,kg/ha,77.2905,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7280,Cropland phosphorus,5077,Crop harvest removal,2023,2023,t,2320845.7577,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7281,Cropland phosphorus per unit area,5077,Crop harvest removal,2023,2023,kg/ha,13.788,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7282,Cropland potassium,5077,Crop harvest removal,2023,2023,t,5905765.5433,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7283,Cropland potassium per unit area,5077,Crop harvest removal,2023,2023,kg/ha,35.0859,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7275,Cropland nitrogen,5088,Crop residue removal,2020,2020,t,2859287.7398,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7276,Cropland nitrogen per unit area,5088,Crop residue removal,2020,2020,kg/ha,17.0147,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7280,Cropland phosphorus,5088,Crop residue removal,2020,2020,t,536447.0832,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7281,Cropland phosphorus per unit area,5088,Crop residue removal,2020,2020,kg/ha,3.1922,E,Estimated value,
