Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5058,Enteric Fermentation,2022,2022,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5058,Enteric Fermentation,2023,2023,3050,FAO TIER 1,kt,390.9566,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5058,Enteric Fermentation,2023,2023,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5059,Manure Management,2020,2020,3050,FAO TIER 1,kt,24.6734,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5059,Manure Management,2020,2020,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5059,Manure Management,2021,2021,3050,FAO TIER 1,kt,24.8805,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5059,Manure Management,2021,2021,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5059,Manure Management,2022,2022,3050,FAO TIER 1,kt,25.3492,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5059,Manure Management,2022,2022,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5059,Manure Management,2023,2023,3050,FAO TIER 1,kt,25.7242,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),5059,Manure Management,2023,2023,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6994,On-farm energy use,2020,2020,3050,FAO TIER 1,kt,0.264,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6994,On-farm energy use,2020,2020,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6994,On-farm energy use,2021,2021,3050,FAO TIER 1,kt,0.282,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6994,On-farm energy use,2021,2021,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6994,On-farm energy use,2022,2022,3050,FAO TIER 1,kt,0.264,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6994,On-farm energy use,2022,2022,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6994,On-farm energy use,2023,2023,3050,FAO TIER 1,kt,0.2664,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6994,On-farm energy use,2023,2023,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6795,Savanna fires,2020,2020,3050,FAO TIER 1,kt,0.2341,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6795,Savanna fires,2020,2020,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6795,Savanna fires,2021,2021,3050,FAO TIER 1,kt,0.0801,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6795,Savanna fires,2021,2021,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6795,Savanna fires,2022,2022,3050,FAO TIER 1,kt,0.0122,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6795,Savanna fires,2022,2022,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6795,Savanna fires,2023,2023,3050,FAO TIER 1,kt,0.0237,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6795,Savanna fires,2023,2023,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6993,Fires in organic soils,2020,2020,3050,FAO TIER 1,kt,0.0,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6993,Fires in organic soils,2020,2020,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6993,Fires in organic soils,2021,2021,3050,FAO TIER 1,kt,0.0,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6993,Fires in organic soils,2021,2021,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6993,Fires in organic soils,2022,2022,3050,FAO TIER 1,kt,0.0,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6993,Fires in organic soils,2022,2022,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6993,Fires in organic soils,2023,2023,3050,FAO TIER 1,kt,0.0,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6993,Fires in organic soils,2023,2023,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6992,Forest fires,2020,2020,3050,FAO TIER 1,kt,0.0,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6992,Forest fires,2020,2020,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6992,Forest fires,2021,2021,3050,FAO TIER 1,kt,0.0,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6992,Forest fires,2021,2021,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6992,Forest fires,2022,2022,3050,FAO TIER 1,kt,0.0,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6992,Forest fires,2022,2022,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6992,Forest fires,2023,2023,3050,FAO TIER 1,kt,0.0,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6992,Forest fires,2023,2023,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),69921,Fires in humid tropical forests,2020,2020,3050,FAO TIER 1,kt,0.0,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),69921,Fires in humid tropical forests,2020,2020,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),69921,Fires in humid tropical forests,2021,2021,3050,FAO TIER 1,kt,0.0,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),69921,Fires in humid tropical forests,2021,2021,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),69921,Fires in humid tropical forests,2022,2022,3050,FAO TIER 1,kt,0.0,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),69921,Fires in humid tropical forests,2022,2022,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),69921,Fires in humid tropical forests,2023,2023,3050,FAO TIER 1,kt,0.0,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),69921,Fires in humid tropical forests,2023,2023,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6991,Agrifood Systems Waste Disposal,2020,2020,3050,FAO TIER 1,kt,120.9242,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6991,Agrifood Systems Waste Disposal,2020,2020,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6991,Agrifood Systems Waste Disposal,2021,2021,3050,FAO TIER 1,kt,123.5483,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6991,Agrifood Systems Waste Disposal,2021,2021,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6991,Agrifood Systems Waste Disposal,2022,2022,3050,FAO TIER 1,kt,125.8265,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6991,Agrifood Systems Waste Disposal,2022,2022,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6991,Agrifood Systems Waste Disposal,2023,2023,3050,FAO TIER 1,kt,128.4405,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6991,Agrifood Systems Waste Disposal,2023,2023,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6997,Pesticides Manufacturing,2020,2020,3050,FAO TIER 1,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6997,Pesticides Manufacturing,2020,2020,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6997,Pesticides Manufacturing,2021,2021,3050,FAO TIER 1,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6997,Pesticides Manufacturing,2021,2021,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6997,Pesticides Manufacturing,2022,2022,3050,FAO TIER 1,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6997,Pesticides Manufacturing,2022,2022,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6997,Pesticides Manufacturing,2023,2023,3050,FAO TIER 1,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6997,Pesticides Manufacturing,2023,2023,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6507,Food Processing,2020,2020,3050,FAO TIER 1,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6507,Food Processing,2020,2020,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6507,Food Processing,2021,2021,3050,FAO TIER 1,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6507,Food Processing,2021,2021,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6507,Food Processing,2022,2022,3050,FAO TIER 1,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6507,Food Processing,2022,2022,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6507,Food Processing,2023,2023,3050,FAO TIER 1,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6507,Food Processing,2023,2023,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6506,Food Packaging,2020,2020,3050,FAO TIER 1,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6506,Food Packaging,2020,2020,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6506,Food Packaging,2021,2021,3050,FAO TIER 1,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6506,Food Packaging,2021,2021,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6506,Food Packaging,2022,2022,3050,FAO TIER 1,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6506,Food Packaging,2022,2022,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6506,Food Packaging,2023,2023,3050,FAO TIER 1,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6506,Food Packaging,2023,2023,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6508,Food Retail,2020,2020,3050,FAO TIER 1,kt,0.0013,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6508,Food Retail,2020,2020,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6508,Food Retail,2021,2021,3050,FAO TIER 1,kt,0.0013,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6508,Food Retail,2021,2021,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6508,Food Retail,2022,2022,3050,FAO TIER 1,kt,0.0013,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6508,Food Retail,2022,2022,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6508,Food Retail,2023,2023,3050,FAO TIER 1,kt,0.0013,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6508,Food Retail,2023,2023,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6505,Food Household Consumption,2020,2020,3050,FAO TIER 1,kt,0.1123,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6505,Food Household Consumption,2020,2020,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6505,Food Household Consumption,2021,2021,3050,FAO TIER 1,kt,0.1023,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6505,Food Household Consumption,2021,2021,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6505,Food Household Consumption,2022,2022,3050,FAO TIER 1,kt,0.0999,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6505,Food Household Consumption,2022,2022,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6505,Food Household Consumption,2023,2023,3050,FAO TIER 1,kt,0.1008,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6505,Food Household Consumption,2023,2023,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6815,Food Transport,2020,2020,3050,FAO TIER 1,kt,0.1327,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6815,Food Transport,2020,2020,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6815,Food Transport,2021,2021,3050,FAO TIER 1,kt,0.1214,E,Estimated value,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6815,Food Transport,2021,2021,3051,UNFCCC,,,,,
GT,Emissions totals,AFG,Afghanistan,7225,Emissions (CH4),6815,Food Transport,2022,2022,3050,FAO TIER 1,kt,0.1166,E,Estimated value,
