Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
LC,Land Cover,IND,India,5007,Area from MODIS,6976,Shrub-covered areas,2022,2022,1000 ha,9227.82,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6976,Shrub-covered areas,2023,2023,1000 ha,8753.56,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6976,Shrub-covered areas,2020,2020,1000 ha,21329.55,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6976,Shrub-covered areas,2021,2021,1000 ha,21350.31,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6976,Shrub-covered areas,2022,2022,1000 ha,21353.28,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6976,Shrub-covered areas,2023,2023,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6976,Shrub-covered areas,2020,2020,1000 ha,14161.85,E,Estimated value
LC,Land Cover,IND,India,5013,Area from WorldCover,6976,Shrub-covered areas,2021,2021,1000 ha,14472.27,E,Estimated value
LC,Land Cover,IND,India,5013,Area from WorldCover,6976,Shrub-covered areas,2022,2022,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6976,Shrub-covered areas,2023,2023,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2020,2020,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2021,2021,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2022,2022,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2023,2023,,,,
LC,Land Cover,IND,India,5007,Area from MODIS,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2020,2020,1000 ha,818.52,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2021,2021,1000 ha,890.18,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2022,2022,1000 ha,909.4,E,Estimated value
LC,Land Cover,IND,India,5007,Area from MODIS,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2023,2023,1000 ha,1010.72,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2020,2020,1000 ha,1906.39,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2021,2021,1000 ha,1906.74,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2022,2022,1000 ha,1906.77,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2023,2023,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2020,2020,1000 ha,776.67,E,Estimated value
LC,Land Cover,IND,India,5013,Area from WorldCover,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2021,2021,1000 ha,530.85,E,Estimated value
LC,Land Cover,IND,India,5013,Area from WorldCover,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2022,2022,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6977,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",2023,2023,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6978,Sparsely natural vegetated areas,2020,2020,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6978,Sparsely natural vegetated areas,2021,2021,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6978,Sparsely natural vegetated areas,2022,2022,,,,
LC,Land Cover,IND,India,5006,Area from CGLS,6978,Sparsely natural vegetated areas,2023,2023,,,,
LC,Land Cover,IND,India,5007,Area from MODIS,6978,Sparsely natural vegetated areas,2020,2020,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5007,Area from MODIS,6978,Sparsely natural vegetated areas,2021,2021,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5007,Area from MODIS,6978,Sparsely natural vegetated areas,2022,2022,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5007,Area from MODIS,6978,Sparsely natural vegetated areas,2023,2023,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6978,Sparsely natural vegetated areas,2020,2020,1000 ha,540.91,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6978,Sparsely natural vegetated areas,2021,2021,1000 ha,540.89,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6978,Sparsely natural vegetated areas,2022,2022,1000 ha,540.38,E,Estimated value
LC,Land Cover,IND,India,5008,Area from CCI_LC,6978,Sparsely natural vegetated areas,2023,2023,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6978,Sparsely natural vegetated areas,2020,2020,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5013,Area from WorldCover,6978,Sparsely natural vegetated areas,2021,2021,1000 ha,,O,Missing value
LC,Land Cover,IND,India,5013,Area from WorldCover,6978,Sparsely natural vegetated areas,2022,2022,,,,
LC,Land Cover,IND,India,5013,Area from WorldCover,6978,Sparsely natural vegetated areas,2023,2023,,,,
